ts,datetime,open,high,low,close,volume
1775602800,2026-04-07T23:00:00+00:00,71505.99,72753.97,71174.31,71910.2,1736.8054044
1775606400,2026-04-08T00:00:00+00:00,71910.21,72113.93,71536.12,71699.91,583.85383141
1775610000,2026-04-08T01:00:00+00:00,71699.9,71753.06,71439.56,71465.98,264.47715947
1775613600,2026-04-08T02:00:00+00:00,71468.34,71722.84,71233.98,71355.75,345.48630583
1775617200,2026-04-08T03:00:00+00:00,71355.76,71484.9,71272.26,71286.0,194.37257335
1775620800,2026-04-08T04:00:00+00:00,71285.99,71683.55,71272.38,71556.55,210.64588723
1775624400,2026-04-08T05:00:00+00:00,71559.93,71830.04,71552.82,71730.91,169.73342475
1775628000,2026-04-08T06:00:00+00:00,71730.91,71942.29,71576.21,71728.99,175.1204488
1775631600,2026-04-08T07:00:00+00:00,71729.0,71914.12,71580.93,71641.01,184.35174213
1775635200,2026-04-08T08:00:00+00:00,71641.02,71832.7,71636.0,71800.02,314.65959276
1775638800,2026-04-08T09:00:00+00:00,71800.02,71962.24,71582.4,71674.21,180.26846729
1775642400,2026-04-08T10:00:00+00:00,71674.21,71790.88,71441.77,71470.12,172.46901124
1775646000,2026-04-08T11:00:00+00:00,71470.11,71743.85,71404.95,71690.4,181.21986008
1775649600,2026-04-08T12:00:00+00:00,71693.1,72199.11,71578.53,72077.79,625.53478011
1775653200,2026-04-08T13:00:00+00:00,72077.8,72861.38,71500.01,71602.39,1311.16343484
1775656800,2026-04-08T14:00:00+00:00,71602.39,71750.67,70684.65,70901.42,1091.19781076
1775660400,2026-04-08T15:00:00+00:00,70901.43,71356.5,70811.63,71309.99,647.67465325
1775664000,2026-04-08T16:00:00+00:00,71310.0,71710.2,71252.0,71608.27,927.86381844
1775667600,2026-04-08T17:00:00+00:00,71608.28,71972.26,71490.17,71903.97,1147.88469871
1775671200,2026-04-08T18:00:00+00:00,71903.97,71903.98,71082.02,71101.98,721.50798425
1775674800,2026-04-08T19:00:00+00:00,71101.76,71391.34,71008.53,71331.51,498.03842072
1775678400,2026-04-08T20:00:00+00:00,71333.0,71500.0,71282.24,71387.32,261.15750261
1775682000,2026-04-08T21:00:00+00:00,71387.32,71766.61,71336.75,71562.97,417.05170708
1775685600,2026-04-08T22:00:00+00:00,71562.96,71584.44,71068.09,71068.09,250.15392821
1775689200,2026-04-08T23:00:00+00:00,71068.1,71218.0,70903.5,71085.99,207.35382609
1775692800,2026-04-09T00:00:00+00:00,71083.99,71146.92,70653.75,70813.81,228.34112737
1775696400,2026-04-09T01:00:00+00:00,70813.8,70957.51,70468.74,70927.84,211.82664447
1775700000,2026-04-09T02:00:00+00:00,70927.85,71200.0,70815.0,71066.55,198.57722255
1775703600,2026-04-09T03:00:00+00:00,71066.56,71126.99,70851.26,70999.17,149.80752663
1775707200,2026-04-09T04:00:00+00:00,70999.18,71023.87,70744.0,70791.99,117.56651579
1775710800,2026-04-09T05:00:00+00:00,70792.32,71098.51,70690.95,70997.63,101.55377882
1775714400,2026-04-09T06:00:00+00:00,70997.63,71096.0,70821.99,71041.44,102.46613905
1775718000,2026-04-09T07:00:00+00:00,71041.43,71128.5,70960.97,70992.56,118.2120591
1775721600,2026-04-09T08:00:00+00:00,70992.56,71391.25,70877.16,71260.01,176.53793263
1775725200,2026-04-09T09:00:00+00:00,71260.0,71585.22,71114.18,71540.24,254.17840061
1775728800,2026-04-09T10:00:00+00:00,71540.04,71548.49,71284.5,71284.51,134.36945428
1775732400,2026-04-09T11:00:00+00:00,71284.51,71368.2,71055.81,71152.8,155.36100421
1775736000,2026-04-09T12:00:00+00:00,71152.8,71330.31,71045.0,71290.07,228.44511618
1775739600,2026-04-09T13:00:00+00:00,71290.08,71362.49,70623.2,70797.2,541.51317355
1775743200,2026-04-09T14:00:00+00:00,70797.16,71261.99,70511.78,71132.04,752.07875336
1775746800,2026-04-09T15:00:00+00:00,71132.04,72369.99,70928.0,72158.09,1637.49020054
1775750400,2026-04-09T16:00:00+00:00,72158.09,72416.25,71744.44,72096.47,1396.19241524
1775754000,2026-04-09T17:00:00+00:00,72096.47,72568.12,72086.0,72359.99,916.71364273
1775757600,2026-04-09T18:00:00+00:00,72362.41,72394.0,71720.0,71890.12,420.52407009
1775761200,2026-04-09T19:00:00+00:00,71890.12,72318.0,71750.0,72136.37,785.57696612
1775764800,2026-04-09T20:00:00+00:00,72146.26,72475.14,71989.82,72430.01,484.1877705
1775768400,2026-04-09T21:00:00+00:00,72430.0,72715.0,72154.0,72277.86,480.1161191
1775772000,2026-04-09T22:00:00+00:00,72280.49,73147.81,71953.21,71953.22,656.32699332
1775775600,2026-04-09T23:00:00+00:00,71953.22,72045.75,71558.46,71798.01,459.82510838
1775779200,2026-04-10T00:00:00+00:00,71798.01,72034.48,71587.36,71977.66,278.95078588
1775782800,2026-04-10T01:00:00+00:00,71976.01,72421.88,71680.01,72172.56,415.62520602
1775786400,2026-04-10T02:00:00+00:00,72170.6,72304.19,71922.41,71968.13,249.47798749
1775790000,2026-04-10T03:00:00+00:00,71968.61,72031.49,71818.27,71882.19,126.08786676
1775793600,2026-04-10T04:00:00+00:00,71882.19,72230.69,71818.28,72125.99,173.95063128
1775797200,2026-04-10T05:00:00+00:00,72125.99,72284.72,72016.89,72138.54,123.22021317
1775800800,2026-04-10T06:00:00+00:00,72138.53,72194.4,71760.83,71809.58,113.76021172
1775804400,2026-04-10T07:00:00+00:00,71806.87,71848.0,71437.39,71493.99,275.85653477
1775808000,2026-04-10T08:00:00+00:00,71495.04,71774.22,71431.55,71611.98,171.11091588
1775811600,2026-04-10T09:00:00+00:00,71611.98,71884.32,71599.01,71787.6,127.33965997
1775815200,2026-04-10T10:00:00+00:00,71784.84,71947.95,71717.93,71917.27,91.68293337
1775818800,2026-04-10T11:00:00+00:00,71917.28,72284.0,71910.13,72147.83,168.10390509
1775822400,2026-04-10T12:00:00+00:00,72149.16,72476.22,72019.44,72273.05,291.82902405
1775826000,2026-04-10T13:00:00+00:00,72273.02,72435.49,71899.6,72347.0,409.17539336
1775829600,2026-04-10T14:00:00+00:00,72345.9,73200.0,72287.15,72953.12,1762.62262551
1775833200,2026-04-10T15:00:00+00:00,72953.11,73339.39,72382.01,72482.98,912.29481106
1775836800,2026-04-10T16:00:00+00:00,72482.99,73082.2,72410.0,73021.3,703.38066323
1775840400,2026-04-10T17:00:00+00:00,73021.31,73184.16,72828.13,73152.07,622.92753474
1775844000,2026-04-10T18:00:00+00:00,73152.07,73195.0,72907.59,73150.0,584.24437135
1775847600,2026-04-10T19:00:00+00:00,73150.0,73314.59,72944.04,73286.01,1071.64068647
1775851200,2026-04-10T20:00:00+00:00,73286.01,73477.87,73089.33,73400.01,878.60925628
1775854800,2026-04-10T21:00:00+00:00,73400.0,73400.01,72971.28,73222.7,167.1517258
1775858400,2026-04-10T22:00:00+00:00,73225.01,73281.14,72802.0,72907.5,222.29993757
1775862000,2026-04-10T23:00:00+00:00,72907.51,73000.0,72807.65,72997.88,125.20415121
1775865600,2026-04-11T00:00:00+00:00,72997.88,72997.88,72818.98,72867.99,91.28758061
1775869200,2026-04-11T01:00:00+00:00,72868.0,73040.3,72667.55,72998.0,118.31001357
1775872800,2026-04-11T02:00:00+00:00,72998.0,73150.19,72941.28,73008.01,133.21543974
1775876400,2026-04-11T03:00:00+00:00,73008.01,73118.19,72858.48,72909.53,93.78122784
1775880000,2026-04-11T04:00:00+00:00,72909.53,72998.13,72720.0,72849.03,162.58822714
1775883600,2026-04-11T05:00:00+00:00,72849.04,72877.44,72712.21,72763.44,60.59037323
1775887200,2026-04-11T06:00:00+00:00,72763.44,72811.29,72650.0,72803.28,96.14648758
1775890800,2026-04-11T07:00:00+00:00,72803.28,72875.73,72706.96,72791.84,49.63920805
1775894400,2026-04-11T08:00:00+00:00,72791.85,72844.02,72677.98,72701.16,50.6780851
1775898000,2026-04-11T09:00:00+00:00,72701.17,72954.0,72668.04,72953.25,65.82201673
1775901600,2026-04-11T10:00:00+00:00,72953.25,72958.06,72800.52,72882.26,34.09161813
1775905200,2026-04-11T11:00:00+00:00,72882.26,72953.01,72856.94,72947.62,116.76303417
1775908800,2026-04-11T12:00:00+00:00,72947.93,73023.19,72844.99,72972.81,86.31460512
1775912400,2026-04-11T13:00:00+00:00,72972.81,72972.81,72564.35,72690.13,220.92868194
1775916000,2026-04-11T14:00:00+00:00,72690.13,72809.64,72626.76,72742.56,88.59632723
1775919600,2026-04-11T15:00:00+00:00,72742.57,72927.47,72709.94,72893.41,76.67584343
1775923200,2026-04-11T16:00:00+00:00,72893.41,73247.97,72846.91,73076.42,125.83952274
1775926800,2026-04-11T17:00:00+00:00,73076.42,73207.72,72976.7,73134.06,87.8487323
1775930400,2026-04-11T18:00:00+00:00,73134.48,73749.0,73072.34,73586.02,293.57059084
1775934000,2026-04-11T19:00:00+00:00,73586.02,73822.95,73504.32,73720.25,187.00362597
1775937600,2026-04-11T20:00:00+00:00,73718.55,73727.26,73250.0,73333.21,151.42806197
1775941200,2026-04-11T21:00:00+00:00,73333.2,73580.52,73236.98,73470.34,135.01256767
1775944800,2026-04-11T22:00:00+00:00,73470.34,73602.51,73278.36,73410.49,145.24700009
1775948400,2026-04-11T23:00:00+00:00,73410.48,73410.48,72952.33,73086.0,124.55707397
1775952000,2026-04-12T00:00:00+00:00,73085.99,73151.97,72913.68,73112.65,84.70084342
1775955600,2026-04-12T01:00:00+00:00,73112.67,73172.14,71294.05,71676.55,510.29520472
1775959200,2026-04-12T02:00:00+00:00,71676.54,72002.88,71382.01,71791.75,312.84337184
1775962800,2026-04-12T03:00:00+00:00,71791.75,71892.0,71621.55,71621.55,121.01658872
1775966400,2026-04-12T04:00:00+00:00,71621.55,71718.27,71474.74,71503.61,107.32071561
1775970000,2026-04-12T05:00:00+00:00,71503.61,71816.3,71442.91,71730.02,76.73237197
1775973600,2026-04-12T06:00:00+00:00,71730.01,71781.02,71680.55,71689.0,53.30039934
1775977200,2026-04-12T07:00:00+00:00,71689.0,71785.63,71619.94,71707.58,52.6394202
1775980800,2026-04-12T08:00:00+00:00,71707.58,71818.16,71630.28,71664.18,43.97367662
1775984400,2026-04-12T09:00:00+00:00,71664.19,71666.16,71541.33,71571.84,39.47678802
1775988000,2026-04-12T10:00:00+00:00,71571.84,71716.76,71389.0,71486.54,65.5750894
1775991600,2026-04-12T11:00:00+00:00,71486.53,71574.83,71444.0,71495.41,55.8579881
1775995200,2026-04-12T12:00:00+00:00,71495.04,71537.65,71110.0,71116.92,151.60636759
1775998800,2026-04-12T13:00:00+00:00,71116.92,71170.98,70889.41,70921.91,330.17144494
1776002400,2026-04-12T14:00:00+00:00,70922.3,71124.05,70725.01,70774.68,226.94556599
1776006000,2026-04-12T15:00:00+00:00,70774.68,70964.84,70631.46,70922.08,178.3990064
1776009600,2026-04-12T16:00:00+00:00,70922.07,70992.7,70835.54,70962.38,119.21665545
1776013200,2026-04-12T17:00:00+00:00,70963.51,71225.25,70926.96,71168.12,171.78422878
1776016800,2026-04-12T18:00:00+00:00,71169.59,71244.66,71077.09,71163.59,128.8439041
1776020400,2026-04-12T19:00:00+00:00,71163.57,71255.45,71081.42,71121.13,145.24938968
1776024000,2026-04-12T20:00:00+00:00,71121.12,71467.17,70979.45,71364.9,183.34593538
1776027600,2026-04-12T21:00:00+00:00,71364.9,71478.37,71187.99,71393.04,151.47079357
1776031200,2026-04-12T22:00:00+00:00,71391.19,71392.57,70512.7,70912.75,870.49949703
1776034800,2026-04-12T23:00:00+00:00,70912.75,70912.75,70573.2,70755.35,261.77664274
1776038400,2026-04-13T00:00:00+00:00,70755.35,71286.46,70616.81,71192.38,253.45162538
1776042000,2026-04-13T01:00:00+00:00,71191.32,71249.19,71031.7,71209.06,179.74079708
1776045600,2026-04-13T02:00:00+00:00,71209.06,71288.0,70998.25,71094.12,110.72556557
1776049200,2026-04-13T03:00:00+00:00,71095.99,71165.75,70931.93,70998.24,130.9905614
