ts,datetime,open,high,low,close,volume
1775602800,2026-04-07T23:00:00+00:00,2219.66,2272.86,2215.53,2239.68,21624.27267602
1775606400,2026-04-08T00:00:00+00:00,2239.61,2250.4,2227.68,2235.59,13594.1174367
1775610000,2026-04-08T01:00:00+00:00,2235.76,2242.61,2228.19,2233.83,9637.51353627
1775613600,2026-04-08T02:00:00+00:00,2233.84,2247.25,2230.53,2236.94,4082.93621517
1775617200,2026-04-08T03:00:00+00:00,2237.02,2239.95,2231.92,2234.45,1864.48450674
1775620800,2026-04-08T04:00:00+00:00,2234.47,2252.62,2234.47,2240.67,3598.16496336
1775624400,2026-04-08T05:00:00+00:00,2240.85,2245.74,2238.24,2240.56,3017.41232669
1775628000,2026-04-08T06:00:00+00:00,2240.55,2253.8,2235.53,2245.83,3661.41614726
1775631600,2026-04-08T07:00:00+00:00,2245.84,2260.78,2244.25,2254.24,4759.59304594
1775635200,2026-04-08T08:00:00+00:00,2254.21,2260.15,2250.2,2256.71,14844.5139214
1775638800,2026-04-08T09:00:00+00:00,2256.72,2263.46,2246.31,2249.7,4896.06682503
1775642400,2026-04-08T10:00:00+00:00,2249.8,2253.86,2242.15,2242.98,3928.7122214
1775646000,2026-04-08T11:00:00+00:00,2242.81,2255.41,2237.52,2247.71,5299.57288419
1775649600,2026-04-08T12:00:00+00:00,2247.85,2260.0,2242.19,2255.93,9330.01969813
1775653200,2026-04-08T13:00:00+00:00,2256.16,2271.6,2231.31,2235.51,20131.0944689
1775656800,2026-04-08T14:00:00+00:00,2235.45,2241.01,2185.97,2195.16,17805.10296
1775660400,2026-04-08T15:00:00+00:00,2195.16,2218.07,2192.8,2215.67,12411.17399245
1775664000,2026-04-08T16:00:00+00:00,2215.56,2225.65,2211.66,2221.19,10250.1738392
1775667600,2026-04-08T17:00:00+00:00,2221.19,2239.99,2213.52,2232.16,10979.00783047
1775671200,2026-04-08T18:00:00+00:00,2232.24,2233.17,2199.28,2201.2,13069.44563439
1775674800,2026-04-08T19:00:00+00:00,2201.19,2212.6,2197.07,2211.6,16016.85891075
1775678400,2026-04-08T20:00:00+00:00,2211.44,2217.38,2206.0,2210.11,5025.74737769
1775682000,2026-04-08T21:00:00+00:00,2210.1,2223.58,2208.33,2215.12,3220.38871014
1775685600,2026-04-08T22:00:00+00:00,2215.2,2215.54,2188.18,2190.34,6376.16913296
1775689200,2026-04-08T23:00:00+00:00,2190.33,2194.47,2179.99,2190.24,4160.54886872
1775692800,2026-04-09T00:00:00+00:00,2190.23,2194.13,2179.99,2183.14,2899.21801973
1775696400,2026-04-09T01:00:00+00:00,2183.13,2185.7,2162.1,2179.14,4687.2007152
1775700000,2026-04-09T02:00:00+00:00,2179.11,2186.0,2173.99,2182.07,2322.84843863
1775703600,2026-04-09T03:00:00+00:00,2182.08,2184.4,2175.51,2182.95,1852.07446245
1775707200,2026-04-09T04:00:00+00:00,2182.94,2182.95,2176.78,2178.31,1461.12388058
1775710800,2026-04-09T05:00:00+00:00,2178.32,2189.38,2176.0,2182.8,2384.85975737
1775714400,2026-04-09T06:00:00+00:00,2182.8,2186.48,2175.99,2182.22,1826.56527104
1775718000,2026-04-09T07:00:00+00:00,2182.21,2186.48,2180.4,2181.47,2182.60691542
1775721600,2026-04-09T08:00:00+00:00,2181.45,2191.33,2176.77,2186.4,5004.23102588
1775725200,2026-04-09T09:00:00+00:00,2186.32,2197.04,2179.26,2194.37,5034.81454962
1775728800,2026-04-09T10:00:00+00:00,2194.36,2196.88,2188.08,2190.91,3736.13604975
1775732400,2026-04-09T11:00:00+00:00,2190.91,2193.44,2178.32,2180.11,3139.18176581
1775736000,2026-04-09T12:00:00+00:00,2180.32,2187.96,2173.86,2183.27,5154.31991808
1775739600,2026-04-09T13:00:00+00:00,2183.28,2186.24,2158.01,2164.8,12783.3161094
1775743200,2026-04-09T14:00:00+00:00,2164.79,2182.72,2156.8,2177.82,21036.95642166
1775746800,2026-04-09T15:00:00+00:00,2177.81,2225.99,2169.02,2218.31,22813.69319012
1775750400,2026-04-09T16:00:00+00:00,2218.3,2229.99,2192.64,2208.59,17835.23283067
1775754000,2026-04-09T17:00:00+00:00,2208.56,2226.59,2206.57,2223.73,13895.78960419
1775757600,2026-04-09T18:00:00+00:00,2223.74,2224.7,2201.0,2206.72,11735.23871963
1775761200,2026-04-09T19:00:00+00:00,2206.72,2225.0,2204.17,2218.18,11635.60713294
1775764800,2026-04-09T20:00:00+00:00,2218.23,2222.63,2211.18,2213.75,3760.49720303
1775768400,2026-04-09T21:00:00+00:00,2213.76,2226.99,2207.87,2211.06,4240.76707452
1775772000,2026-04-09T22:00:00+00:00,2211.16,2245.9,2198.0,2198.3,8755.23007227
1775775600,2026-04-09T23:00:00+00:00,2198.1,2201.6,2183.2,2190.15,4769.25439359
1775779200,2026-04-10T00:00:00+00:00,2190.3,2198.33,2182.03,2195.4,3423.34360848
1775782800,2026-04-10T01:00:00+00:00,2195.42,2204.6,2177.13,2195.0,5191.96685616
1775786400,2026-04-10T02:00:00+00:00,2195.01,2198.79,2187.29,2189.51,1970.24776321
1775790000,2026-04-10T03:00:00+00:00,2189.51,2192.84,2182.83,2186.5,1931.49671372
1775793600,2026-04-10T04:00:00+00:00,2186.49,2199.63,2186.08,2195.98,1660.94687474
1775797200,2026-04-10T05:00:00+00:00,2196.16,2203.59,2192.81,2197.4,1749.68405904
1775800800,2026-04-10T06:00:00+00:00,2197.41,2198.63,2184.0,2186.48,1944.69962098
1775804400,2026-04-10T07:00:00+00:00,2186.47,2188.62,2175.99,2179.18,5128.90937383
1775808000,2026-04-10T08:00:00+00:00,2179.2,2190.18,2176.55,2185.96,5124.54225743
1775811600,2026-04-10T09:00:00+00:00,2185.95,2197.99,2185.81,2196.71,5095.57105428
1775815200,2026-04-10T10:00:00+00:00,2196.54,2199.11,2191.21,2197.92,2285.05428362
1775818800,2026-04-10T11:00:00+00:00,2197.99,2224.71,2197.7,2216.35,10449.51473973
1775822400,2026-04-10T12:00:00+00:00,2216.35,2229.0,2208.43,2219.26,7602.3806141
1775826000,2026-04-10T13:00:00+00:00,2219.33,2226.46,2208.2,2223.74,10330.48654234
1775829600,2026-04-10T14:00:00+00:00,2223.71,2301.64,2221.15,2243.55,52070.56896326
1775833200,2026-04-10T15:00:00+00:00,2243.54,2258.54,2220.45,2224.33,14061.14069245
1775836800,2026-04-10T16:00:00+00:00,2224.4,2295.07,2221.5,2246.4,34200.61288474
1775840400,2026-04-10T17:00:00+00:00,2246.6,2250.99,2239.79,2249.48,5937.05452559
1775844000,2026-04-10T18:00:00+00:00,2249.42,2253.0,2239.33,2250.12,3946.38030991
1775847600,2026-04-10T19:00:00+00:00,2250.12,2257.04,2244.16,2254.28,7629.69520749
1775851200,2026-04-10T20:00:00+00:00,2254.31,2258.6,2244.1,2256.6,4489.81673366
1775854800,2026-04-10T21:00:00+00:00,2256.48,2257.0,2243.72,2255.9,3208.05588639
1775858400,2026-04-10T22:00:00+00:00,2255.99,2256.5,2236.1,2243.43,4571.85589909
1775862000,2026-04-10T23:00:00+00:00,2243.43,2246.78,2240.21,2246.29,2109.89525651
1775865600,2026-04-11T00:00:00+00:00,2246.28,2246.79,2236.62,2239.82,2370.16766754
1775869200,2026-04-11T01:00:00+00:00,2239.82,2247.7,2235.71,2245.39,1873.18360632
1775872800,2026-04-11T02:00:00+00:00,2245.39,2253.5,2243.2,2249.71,2728.26796822
1775876400,2026-04-11T03:00:00+00:00,2249.71,2252.02,2236.66,2238.42,2442.61528199
1775880000,2026-04-11T04:00:00+00:00,2238.42,2244.06,2236.33,2241.93,1552.74978951
1775883600,2026-04-11T05:00:00+00:00,2241.92,2243.03,2230.01,2233.8,2399.48020727
1775887200,2026-04-11T06:00:00+00:00,2233.8,2237.75,2230.76,2236.81,1552.22278435
1775890800,2026-04-11T07:00:00+00:00,2236.99,2237.7,2232.0,2233.8,978.6818211
1775894400,2026-04-11T08:00:00+00:00,2233.9,2236.66,2233.1,2233.96,819.80604195
1775898000,2026-04-11T09:00:00+00:00,2233.96,2250.49,2233.3,2244.95,2754.58507047
1775901600,2026-04-11T10:00:00+00:00,2244.96,2246.37,2238.91,2241.6,1529.4995534
1775905200,2026-04-11T11:00:00+00:00,2241.5,2248.36,2239.81,2247.42,2555.85288729
1775908800,2026-04-11T12:00:00+00:00,2247.44,2247.96,2242.38,2246.4,1387.72739711
1775912400,2026-04-11T13:00:00+00:00,2246.39,2246.39,2234.7,2240.89,2088.79291656
1775916000,2026-04-11T14:00:00+00:00,2240.89,2245.19,2239.41,2243.2,1630.4528337
1775919600,2026-04-11T15:00:00+00:00,2243.22,2257.28,2242.35,2250.44,2129.13767931
1775923200,2026-04-11T16:00:00+00:00,2250.49,2275.31,2247.44,2259.82,3990.20012711
1775926800,2026-04-11T17:00:00+00:00,2259.84,2266.4,2254.7,2260.83,2875.72064811
1775930400,2026-04-11T18:00:00+00:00,2260.9,2312.62,2258.28,2306.4,10902.90673898
1775934000,2026-04-11T19:00:00+00:00,2306.5,2330.56,2306.5,2316.99,8464.00481622
1775937600,2026-04-11T20:00:00+00:00,2316.99,2318.0,2289.34,2299.25,4776.24850823
1775941200,2026-04-11T21:00:00+00:00,2299.24,2305.15,2293.14,2300.19,2628.46125776
1775944800,2026-04-11T22:00:00+00:00,2300.18,2308.94,2290.0,2297.6,3536.60995743
1775948400,2026-04-11T23:00:00+00:00,2297.6,2297.6,2277.6,2285.79,3712.4406243
1775952000,2026-04-12T00:00:00+00:00,2285.79,2289.1,2278.41,2286.74,3397.02068008
1775955600,2026-04-12T01:00:00+00:00,2286.73,2289.58,2208.0,2219.92,11948.68265946
1775959200,2026-04-12T02:00:00+00:00,2219.94,2235.28,2206.99,2224.56,7208.89185207
1775962800,2026-04-12T03:00:00+00:00,2224.47,2228.09,2213.51,2214.6,2975.73867571
1775966400,2026-04-12T04:00:00+00:00,2214.6,2217.09,2210.08,2212.9,1952.74881542
1775970000,2026-04-12T05:00:00+00:00,2212.91,2220.79,2208.49,2217.98,2207.79506071
1775973600,2026-04-12T06:00:00+00:00,2217.98,2221.71,2215.1,2216.82,1735.31364234
1775977200,2026-04-12T07:00:00+00:00,2216.82,2221.29,2213.5,2218.92,1244.65371049
1775980800,2026-04-12T08:00:00+00:00,2218.92,2220.0,2212.86,2215.02,925.69310883
1775984400,2026-04-12T09:00:00+00:00,2215.02,2216.9,2212.28,2214.75,934.55196549
1775988000,2026-04-12T10:00:00+00:00,2214.75,2218.22,2195.22,2202.6,3662.9139248
1775991600,2026-04-12T11:00:00+00:00,2202.59,2208.32,2198.49,2205.7,1598.94429668
1775995200,2026-04-12T12:00:00+00:00,2205.66,2209.15,2190.48,2195.62,3461.20348508
1775998800,2026-04-12T13:00:00+00:00,2195.61,2199.89,2185.6,2187.52,4928.05388805
1776002400,2026-04-12T14:00:00+00:00,2187.56,2194.3,2179.23,2181.59,4629.01847271
1776006000,2026-04-12T15:00:00+00:00,2181.6,2190.0,2175.89,2187.63,3984.61676054
1776009600,2026-04-12T16:00:00+00:00,2187.62,2191.35,2183.05,2188.31,4904.78972121
1776013200,2026-04-12T17:00:00+00:00,2188.31,2206.03,2188.31,2204.21,3563.07766202
1776016800,2026-04-12T18:00:00+00:00,2204.21,2208.17,2200.5,2201.41,2857.76082184
1776020400,2026-04-12T19:00:00+00:00,2201.41,2206.18,2198.38,2199.43,2148.1765891
1776024000,2026-04-12T20:00:00+00:00,2199.43,2218.82,2193.24,2214.38,4877.87712907
1776027600,2026-04-12T21:00:00+00:00,2214.37,2218.45,2205.32,2211.79,4100.39605907
1776031200,2026-04-12T22:00:00+00:00,2211.76,2211.96,2184.0,2199.64,8454.22201012
1776034800,2026-04-12T23:00:00+00:00,2199.63,2199.69,2185.63,2191.8,5465.58349463
1776038400,2026-04-13T00:00:00+00:00,2191.77,2208.53,2186.58,2205.59,4382.82602294
1776042000,2026-04-13T01:00:00+00:00,2205.49,2209.4,2200.7,2203.66,1779.24221568
1776045600,2026-04-13T02:00:00+00:00,2203.66,2205.9,2192.51,2194.29,1218.28180278
1776049200,2026-04-13T03:00:00+00:00,2194.4,2196.09,2190.41,2194.3,1286.03531967
1776052800,2026-04-13T04:00:00+00:00,2194.29,2199.6,2187.9,2190.64,1620.17825357
1776056400,2026-04-13T05:00:00+00:00,2190.67,2191.99,2182.4,2191.78,2049.10170875
1776060000,2026-04-13T06:00:00+00:00,2191.67,2202.0,2190.92,2198.99,2331.24768376
1776063600,2026-04-13T07:00:00+00:00,2199.0,2200.6,2183.53,2186.83,2353.27219629
1776067200,2026-04-13T08:00:00+00:00,2186.82,2189.59,2179.11,2185.5,7638.94438925
1776070800,2026-04-13T09:00:00+00:00,2185.51,2195.4,2185.2,2187.98,2232.13458808
1776074400,2026-04-13T10:00:00+00:00,2188.03,2189.04,2179.21,2183.81,3628.19833641
1776078000,2026-04-13T11:00:00+00:00,2184.07,2191.26,2182.3,2187.67,5137.02311016
1776081600,2026-04-13T12:00:00+00:00,2187.77,2199.53,2174.31,2192.46,12628.67916853
1776085200,2026-04-13T13:00:00+00:00,2192.5,2216.98,2181.0,2216.09,17651.23411362
1776088800,2026-04-13T14:00:00+00:00,2216.09,2236.35,2203.54,2235.31,20520.42592323
1776092400,2026-04-13T15:00:00+00:00,2235.3,2237.84,2199.51,2209.68,22158.73107777
1776096000,2026-04-13T16:00:00+00:00,2209.68,2236.0,2200.14,2226.79,19813.66604701
1776099600,2026-04-13T17:00:00+00:00,2226.7,2243.79,2222.94,2225.82,15571.23321295
1776103200,2026-04-13T18:00:00+00:00,2225.82,2234.84,2219.17,2233.34,9333.12923786
1776106800,2026-04-13T19:00:00+00:00,2233.36,2269.46,2228.51,2263.28,23691.6709796
1776110400,2026-04-13T20:00:00+00:00,2263.2,2264.59,2248.44,2253.41,6685.89130284
1776114000,2026-04-13T21:00:00+00:00,2253.7,2268.75,2250.65,2260.92,3311.5996246
1776117600,2026-04-13T22:00:00+00:00,2260.91,2363.97,2260.38,2353.73,20213.10881577
1776121200,2026-04-13T23:00:00+00:00,2353.8,2395.0,2342.4,2370.28,16739.26051284
1776124800,2026-04-14T00:00:00+00:00,2370.27,2375.87,2360.8,2362.39,6052.70311026
1776128400,2026-04-14T01:00:00+00:00,2362.1,2374.69,2354.12,2369.84,8419.34824472
1776132000,2026-04-14T02:00:00+00:00,2369.83,2379.18,2366.25,2368.42,4085.57294962
