ts,datetime,open,high,low,close,volume
1775602800,2026-04-07T23:00:00+00:00,0.035,0.035,0.034,0.034,85144.82
1775606400,2026-04-08T00:00:00+00:00,0.034,0.035,0.034,0.034,15646.37
1775610000,2026-04-08T01:00:00+00:00,0.035,0.035,0.034,0.035,20648.21
1775613600,2026-04-08T02:00:00+00:00,0.035,0.035,0.034,0.034,159642.63
1775617200,2026-04-08T03:00:00+00:00,0.034,0.034,0.034,0.034,868442.67
1775620800,2026-04-08T04:00:00+00:00,0.034,0.034,0.034,0.034,12653.62
1775624400,2026-04-08T05:00:00+00:00,0.035,0.035,0.034,0.034,148728.31
1775628000,2026-04-08T06:00:00+00:00,0.034,0.034,0.033,0.034,476472.65
1775631600,2026-04-08T07:00:00+00:00,0.034,0.034,0.033,0.033,150099.89
1775635200,2026-04-08T08:00:00+00:00,0.034,0.034,0.033,0.034,715607.24
1775638800,2026-04-08T09:00:00+00:00,0.034,0.034,0.033,0.034,3060.01
1775642400,2026-04-08T10:00:00+00:00,0.034,0.034,0.033,0.034,11140.1
1775646000,2026-04-08T11:00:00+00:00,0.033,0.034,0.033,0.034,54633.83
1775649600,2026-04-08T12:00:00+00:00,0.033,0.034,0.033,0.033,179217.26
1775653200,2026-04-08T13:00:00+00:00,0.034,0.034,0.033,0.034,26699.26
1775656800,2026-04-08T14:00:00+00:00,0.033,0.033,0.033,0.033,989900.8
1775660400,2026-04-08T15:00:00+00:00,0.032,0.033,0.032,0.033,1245509.14
1775664000,2026-04-08T16:00:00+00:00,0.034,0.034,0.033,0.034,12202.17
1775671200,2026-04-08T18:00:00+00:00,0.033,0.034,0.033,0.033,7989.87
1775678400,2026-04-08T20:00:00+00:00,0.034,0.034,0.033,0.033,3540.18
1775682000,2026-04-08T21:00:00+00:00,0.034,0.034,0.033,0.033,36854.25
1775685600,2026-04-08T22:00:00+00:00,0.034,0.034,0.033,0.033,69688.34
1775689200,2026-04-08T23:00:00+00:00,0.033,0.034,0.033,0.033,1721153.81
1775692800,2026-04-09T00:00:00+00:00,0.032,0.033,0.032,0.033,3471.1
1775696400,2026-04-09T01:00:00+00:00,0.033,0.033,0.032,0.032,47911.04
1775700000,2026-04-09T02:00:00+00:00,0.033,0.033,0.032,0.033,1055195.22
1775703600,2026-04-09T03:00:00+00:00,0.032,0.033,0.032,0.033,865.65
1775710800,2026-04-09T05:00:00+00:00,0.033,0.033,0.033,0.033,226380.85
1775714400,2026-04-09T06:00:00+00:00,0.033,0.033,0.032,0.033,159892.03
1775718000,2026-04-09T07:00:00+00:00,0.033,0.034,0.032,0.034,138148.25
1775721600,2026-04-09T08:00:00+00:00,0.033,0.034,0.033,0.033,1582391.77
1775725200,2026-04-09T09:00:00+00:00,0.032,0.033,0.032,0.033,1397993.11
1775728800,2026-04-09T10:00:00+00:00,0.033,0.034,0.032,0.033,438739.09
1775732400,2026-04-09T11:00:00+00:00,0.033,0.034,0.033,0.034,1477297.97
1775736000,2026-04-09T12:00:00+00:00,0.033,0.033,0.032,0.033,1970461.99
1775739600,2026-04-09T13:00:00+00:00,0.033,0.033,0.032,0.033,16844.9
1775746800,2026-04-09T15:00:00+00:00,0.033,0.034,0.033,0.033,778439.12
1775750400,2026-04-09T16:00:00+00:00,0.033,0.034,0.033,0.034,324593.72
1775754000,2026-04-09T17:00:00+00:00,0.034,0.034,0.033,0.034,106427.64
1775757600,2026-04-09T18:00:00+00:00,0.034,0.034,0.033,0.034,4545.9
