pair,vol_7d_usd,fees_7d_usd,tvl_usd_now,fee_yield_ann_pct,sigma_realized_ann_pct,wedge_pct,n_pools
USDC/STRK,7134629,3567,821735,22.63,177.72,-155.08,2
USDC/WBTC,3167695,1584,1621360,5.09,31.54,-26.44,2
WBTC/STRK,789835,79,473524,0.87,157.26,-156.39,1
USDC/ETH,3304171,1651,1171004,7.35,38.06,-30.71,1
USDC/USDC.e,760783,0,296546,0.00,1.50,-1.50,1
WBTC/tBTC,368924,18,1738385,0.05,24.43,-24.38,2
WBTC/ETH,1465897,733,2015966,1.90,27.62,-25.72,3
LBTC/WBTC,2186084,0,692093,0.00,24.43,-24.43,2
ETH/USDC.e,772616,403,494237,4.25,38.06,-33.81,6
STRK/ETH,87358,260,659260,2.05,153.50,-151.45,6
USDC.e/USDT,189672,5,161330,0.17,1.50,-1.33,6
xSTRK/STRK,135171,13,503655,0.13,137.66,-137.53,3
USDC/USDT,87829,9,126615,0.36,1.50,-1.14,1
WBTC/USDC.e,29605,15,24784,3.11,31.54,-28.42,1
