test,metric,value
H1,n_pools,2
H1,mean_wedge,0.08638482208906988
H2:intercept,coef,-0.07386028791461927
H2:intercept,se,0.384967275769351
H2:intercept,t_stat,-0.19186121149391372
H2:log_tvl,coef,-0.10049380706168869
H2:log_tvl,se,0.05790890665067959
H2:log_tvl,t_stat,-1.7353773862091961
H2:log_vol,coef,0.12261744067148497
H2:log_vol,se,0.05648931320286502
H2:log_vol,t_stat,2.1706307568502368
H2:sigma,coef,-0.8952476386266551
H2:sigma,se,0.07074106475040753
H2:sigma,t_stat,-12.655275147261586
