amm,chain,pair,fee_tier,tvl_usd,vol_24h_usd,fees_24h_usd,fee_yield_ann_pct
uniswap-v3,ethereum,USDC-WETH,0.05%,101638152,43811466.73267,21905.733366335,7.86672
uniswap-v3,ethereum,USDC-WETH,0.3%,25430846,2394469.81459,7183.40944377,10.3101
uniswap-v3,ethereum,USDC-WETH,0.01%,7077514,83301720.15822,8330.172015822,42.96018
uniswap-v3,ethereum,USDC-WETH,1%,795432,6932.07832,69.3207832,3.18092
uniswap-v3,ethereum,USDC-USDT,0.01%,44944669,6755638.58961,675.563858961,0.54863
uniswap-v3,ethereum,USDC-USDT,0.05%,688702,68947.90725,34.47395362500001,1.82706
uniswap-v3,ethereum,WBTC-WETH,0.05%,55357772,20957087.44417,10478.543722085,6.909
uniswap-v3,ethereum,WBTC-WETH,0.3%,46041611,119977.97025,359.93391075,0.28534
uniswap-v3,ethereum,WBTC-WETH,0.01%,100090,2242534.6475,224.25346474999998,81.77899
uniswap-v3,ethereum,WBTC-WETH,1%,76519,1996.50294,19.965029400000002,9.52342
