pool,sym0,sym1,ref_kind,fees_7d_usd,tvl_usd,vol_7d_usd,n_pools_at_pair,sigma_fee_ann,sigma_realized_yz,sigma_realized_cc,sigma_realized_gk,sigma_realized_pk,wedge_yz,wedge_cc
USDC/STRK,USDC,STRK,strk,3567.0216403626196,821734.8891717399,7134628.885274962,2,0.9515123217867996,2.4781939046827746,1.8242086715450272,1.6384112907819322,1.6737039378179501,-1.526681582895975,-0.8726963497582276
USDC/WBTC,USDC,WBTC,btc,1583.850130294811,1621360.0179983093,3167694.6747476174,2,0.45138250311267475,0.34568034980372053,0.32048870236647,0.348406479355678,0.3406274699072368,0.10570215330895422,0.13089380074620477
WBTC/STRK,WBTC,STRK,btc,78.98352765156133,473524.15318726475,789835.2765156133,1,0.1865196548926696,0.34568034980372053,0.32048870236647,0.348406479355678,0.3406274699072368,-0.15916069491105092,-0.13396904747380037
USDC/ETH,USDC,ETH,eth,1651.279446349935,1171003.9704783831,3304170.8522021878,1,0.542323609845543,0.4251394824758774,0.37635153859520504,0.4261838177272317,0.4122917585586995,0.11718412736966555,0.16597207125033792
WBTC/tBTC,WBTC,tBTC,btc,17.672942269709242,1738385.1000614008,368923.72254303267,2,0.04604779531708112,0.34568034980372053,0.32048870236647,0.348406479355678,0.3406274699072368,-0.2996325544866394,-0.27444090704938884
WBTC/ETH,WBTC,ETH,btc,732.974040830259,2015965.898457014,1465896.982485703,3,0.2753785533349631,0.34568034980372053,0.32048870236647,0.348406479355678,0.3406274699072368,-0.07030179646875745,-0.045110149031506896
LBTC/WBTC,LBTC,WBTC,btc,0.00961545614325216,692093.2968617249,2186084.3188288133,2,0.00170227621911776,0.34568034980372053,0.32048870236647,0.348406479355678,0.3406274699072368,-0.34397807358460275,-0.3187864261473522
ETH/USDC.e,ETH,USDC.e,eth,403.17795,494236.9071593186,772616.021005,6,0.41248504497257016,0.4251394824758774,0.37635153859520504,0.4261838177272317,0.4122917585586995,-0.012654437503307248,0.03613350637736512
STRK/ETH,STRK,ETH,eth,259.7802886172342,659259.9444547972,87357.73463599457,6,0.28668314529043754,0.4251394824758774,0.37635153859520504,0.4261838177272317,0.4122917585586995,-0.13845633718543987,-0.0896683933047675
USDC.e/USDT,USDC.e,USDT,stable,5.262111,161330.233229261,189671.76281,6,0.08248016660586853,0.015,0.015,0.015,0.015,0.06748016660586853,0.06748016660586853
xSTRK/STRK,xSTRK,STRK,strk,12.91993705925154,503654.9711474837,135170.64990275574,3,0.07314607794414593,2.4781939046827746,1.8242086715450272,1.6384112907819322,1.6737039378179501,-2.405047826738629,-1.7510625936008812
USDC/USDT,USDC,USDT,stable,8.783877007180894,126615.18225280482,87828.88558480087,1,0.12028947757227122,0.015,0.015,0.015,0.015,0.10528947757227122,0.10528947757227122
WBTC/USDC.e,WBTC,USDC.e,btc,14.803687,24783.936376729645,29605.433331,1,0.35296139901345586,0.34568034980372053,0.32048870236647,0.348406479355678,0.3406274699072368,0.007281049209735324,0.03247269664698588
